v_delta,s_delta,EgoSpeed,EgoStartS,CollisionDetected,Filename
16.0,22.0,108.0,25.0,True,log_100_of_416.txt
18.0,22.0,108.0,25.0,True,log_101_of_416.txt
20.0,22.0,108.0,25.0,True,log_102_of_416.txt
22.0,22.0,108.0,25.0,True,log_103_of_416.txt
24.0,22.0,108.0,25.0,True,log_104_of_416.txt
26.0,22.0,108.0,25.0,True,log_105_of_416.txt
28.0,22.0,108.0,25.0,True,log_106_of_416.txt
30.0,22.0,108.0,25.0,True,log_107_of_416.txt
32.0,22.0,108.0,25.0,True,log_108_of_416.txt
34.0,22.0,108.0,25.0,True,log_109_of_416.txt
28.0,10.0,108.0,25.0,True,log_10_of_416.txt
36.0,22.0,108.0,25.0,True,log_110_of_416.txt
38.0,22.0,108.0,25.0,True,log_111_of_416.txt
40.0,22.0,108.0,25.0,True,log_112_of_416.txt
10.0,24.0,108.0,25.0,False,log_113_of_416.txt
12.0,24.0,108.0,25.0,True,log_114_of_416.txt
14.0,24.0,108.0,25.0,True,log_115_of_416.txt
16.0,24.0,108.0,25.0,True,log_116_of_416.txt
18.0,24.0,108.0,25.0,False,log_117_of_416.txt
20.0,24.0,108.0,25.0,True,log_118_of_416.txt
22.0,24.0,108.0,25.0,True,log_119_of_416.txt
30.0,10.0,108.0,25.0,True,log_11_of_416.txt
24.0,24.0,108.0,25.0,True,log_120_of_416.txt
26.0,24.0,108.0,25.0,True,log_121_of_416.txt
28.0,24.0,108.0,25.0,True,log_122_of_416.txt
30.0,24.0,108.0,25.0,True,log_123_of_416.txt
32.0,24.0,108.0,25.0,True,log_124_of_416.txt
34.0,24.0,108.0,25.0,True,log_125_of_416.txt
36.0,24.0,108.0,25.0,True,log_126_of_416.txt
38.0,24.0,108.0,25.0,True,log_127_of_416.txt
40.0,24.0,108.0,25.0,True,log_128_of_416.txt
10.0,26.0,108.0,25.0,False,log_129_of_416.txt
32.0,10.0,108.0,25.0,True,log_12_of_416.txt
12.0,26.0,108.0,25.0,False,log_130_of_416.txt
14.0,26.0,108.0,25.0,True,log_131_of_416.txt
16.0,26.0,108.0,25.0,True,log_132_of_416.txt
18.0,26.0,108.0,25.0,True,log_133_of_416.txt
20.0,26.0,108.0,25.0,True,log_134_of_416.txt
22.0,26.0,108.0,25.0,True,log_135_of_416.txt
24.0,26.0,108.0,25.0,True,log_136_of_416.txt
26.0,26.0,108.0,25.0,True,log_137_of_416.txt
28.0,26.0,108.0,25.0,True,log_138_of_416.txt
30.0,26.0,108.0,25.0,True,log_139_of_416.txt
34.0,10.0,108.0,25.0,True,log_13_of_416.txt
32.0,26.0,108.0,25.0,True,log_140_of_416.txt
34.0,26.0,108.0,25.0,True,log_141_of_416.txt
36.0,26.0,108.0,25.0,True,log_142_of_416.txt
38.0,26.0,108.0,25.0,True,log_143_of_416.txt
40.0,26.0,108.0,25.0,True,log_144_of_416.txt
10.0,28.0,108.0,25.0,False,log_145_of_416.txt
12.0,28.0,108.0,25.0,False,log_146_of_416.txt
14.0,28.0,108.0,25.0,True,log_147_of_416.txt
16.0,28.0,108.0,25.0,True,log_148_of_416.txt
18.0,28.0,108.0,25.0,True,log_149_of_416.txt
36.0,10.0,108.0,25.0,True,log_14_of_416.txt
20.0,28.0,108.0,25.0,True,log_150_of_416.txt
22.0,28.0,108.0,25.0,True,log_151_of_416.txt
24.0,28.0,108.0,25.0,True,log_152_of_416.txt
26.0,28.0,108.0,25.0,True,log_153_of_416.txt
28.0,28.0,108.0,25.0,True,log_154_of_416.txt
30.0,28.0,108.0,25.0,True,log_155_of_416.txt
32.0,28.0,108.0,25.0,True,log_156_of_416.txt
34.0,28.0,108.0,25.0,True,log_157_of_416.txt
36.0,28.0,108.0,25.0,True,log_158_of_416.txt
38.0,28.0,108.0,25.0,True,log_159_of_416.txt
38.0,10.0,108.0,25.0,True,log_15_of_416.txt
40.0,28.0,108.0,25.0,True,log_160_of_416.txt
10.0,30.0,108.0,25.0,False,log_161_of_416.txt
12.0,30.0,108.0,25.0,False,log_162_of_416.txt
14.0,30.0,108.0,25.0,False,log_163_of_416.txt
16.0,30.0,108.0,25.0,True,log_164_of_416.txt
18.0,30.0,108.0,25.0,True,log_165_of_416.txt
20.0,30.0,108.0,25.0,True,log_166_of_416.txt
22.0,30.0,108.0,25.0,True,log_167_of_416.txt
24.0,30.0,108.0,25.0,True,log_168_of_416.txt
26.0,30.0,108.0,25.0,True,log_169_of_416.txt
40.0,10.0,108.0,25.0,True,log_16_of_416.txt
28.0,30.0,108.0,25.0,True,log_170_of_416.txt
30.0,30.0,108.0,25.0,True,log_171_of_416.txt
32.0,30.0,108.0,25.0,True,log_172_of_416.txt
34.0,30.0,108.0,25.0,True,log_173_of_416.txt
36.0,30.0,108.0,25.0,True,log_174_of_416.txt
38.0,30.0,108.0,25.0,True,log_175_of_416.txt
40.0,30.0,108.0,25.0,True,log_176_of_416.txt
10.0,32.0,108.0,25.0,False,log_177_of_416.txt
12.0,32.0,108.0,25.0,False,log_178_of_416.txt
14.0,32.0,108.0,25.0,False,log_179_of_416.txt
10.0,12.0,108.0,25.0,True,log_17_of_416.txt
16.0,32.0,108.0,25.0,True,log_180_of_416.txt
18.0,32.0,108.0,25.0,True,log_181_of_416.txt
20.0,32.0,108.0,25.0,False,log_182_of_416.txt
22.0,32.0,108.0,25.0,True,log_183_of_416.txt
24.0,32.0,108.0,25.0,True,log_184_of_416.txt
26.0,32.0,108.0,25.0,True,log_185_of_416.txt
28.0,32.0,108.0,25.0,True,log_186_of_416.txt
30.0,32.0,108.0,25.0,True,log_187_of_416.txt
32.0,32.0,108.0,25.0,True,log_188_of_416.txt
34.0,32.0,108.0,25.0,True,log_189_of_416.txt
12.0,12.0,108.0,25.0,True,log_18_of_416.txt
36.0,32.0,108.0,25.0,True,log_190_of_416.txt
38.0,32.0,108.0,25.0,True,log_191_of_416.txt
40.0,32.0,108.0,25.0,True,log_192_of_416.txt
10.0,34.0,108.0,25.0,False,log_193_of_416.txt
12.0,34.0,108.0,25.0,False,log_194_of_416.txt
14.0,34.0,108.0,25.0,False,log_195_of_416.txt
16.0,34.0,108.0,25.0,False,log_196_of_416.txt
18.0,34.0,108.0,25.0,False,log_197_of_416.txt
20.0,34.0,108.0,25.0,False,log_198_of_416.txt
22.0,34.0,108.0,25.0,True,log_199_of_416.txt
14.0,12.0,108.0,25.0,True,log_19_of_416.txt
10.0,10.0,108.0,25.0,True,log_1_of_416.txt
24.0,34.0,108.0,25.0,True,log_200_of_416.txt
26.0,34.0,108.0,25.0,True,log_201_of_416.txt
28.0,34.0,108.0,25.0,True,log_202_of_416.txt
30.0,34.0,108.0,25.0,True,log_203_of_416.txt
32.0,34.0,108.0,25.0,True,log_204_of_416.txt
34.0,34.0,108.0,25.0,True,log_205_of_416.txt
36.0,34.0,108.0,25.0,True,log_206_of_416.txt
38.0,34.0,108.0,25.0,True,log_207_of_416.txt
40.0,34.0,108.0,25.0,True,log_208_of_416.txt
10.0,36.0,108.0,25.0,False,log_209_of_416.txt
16.0,12.0,108.0,25.0,True,log_20_of_416.txt
12.0,36.0,108.0,25.0,False,log_210_of_416.txt
14.0,36.0,108.0,25.0,False,log_211_of_416.txt
16.0,36.0,108.0,25.0,False,log_212_of_416.txt
18.0,36.0,108.0,25.0,False,log_213_of_416.txt
20.0,36.0,108.0,25.0,False,log_214_of_416.txt
22.0,36.0,108.0,25.0,False,log_215_of_416.txt
24.0,36.0,108.0,25.0,True,log_216_of_416.txt
26.0,36.0,108.0,25.0,True,log_217_of_416.txt
28.0,36.0,108.0,25.0,True,log_218_of_416.txt
30.0,36.0,108.0,25.0,True,log_219_of_416.txt
18.0,12.0,108.0,25.0,True,log_21_of_416.txt
32.0,36.0,108.0,25.0,True,log_220_of_416.txt
34.0,36.0,108.0,25.0,True,log_221_of_416.txt
36.0,36.0,108.0,25.0,True,log_222_of_416.txt
38.0,36.0,108.0,25.0,True,log_223_of_416.txt
40.0,36.0,108.0,25.0,True,log_224_of_416.txt
10.0,38.0,108.0,25.0,False,log_225_of_416.txt
12.0,38.0,108.0,25.0,False,log_226_of_416.txt
14.0,38.0,108.0,25.0,False,log_227_of_416.txt
16.0,38.0,108.0,25.0,False,log_228_of_416.txt
18.0,38.0,108.0,25.0,False,log_229_of_416.txt
20.0,12.0,108.0,25.0,True,log_22_of_416.txt
20.0,38.0,108.0,25.0,True,log_230_of_416.txt
