v_delta,s_delta,EgoSpeed,EgoStartS,CollisionDetected,Filename
16.0,70.0,108.0,25.0,False,log_100_of_104.txt
21.0,70.0,108.0,25.0,False,log_101_of_104.txt
26.0,70.0,108.0,25.0,False,log_102_of_104.txt
31.0,70.0,108.0,25.0,False,log_103_of_104.txt
36.0,70.0,108.0,25.0,False,log_104_of_104.txt
6.0,15.0,108.0,25.0,False,log_10_of_104.txt
11.0,15.0,108.0,25.0,True,log_11_of_104.txt
16.0,15.0,108.0,25.0,True,log_12_of_104.txt
21.0,15.0,108.0,25.0,True,log_13_of_104.txt
26.0,15.0,108.0,25.0,True,log_14_of_104.txt
31.0,15.0,108.0,25.0,True,log_15_of_104.txt
36.0,15.0,108.0,25.0,True,log_16_of_104.txt
1.0,20.0,108.0,25.0,False,log_17_of_104.txt
6.0,20.0,108.0,25.0,False,log_18_of_104.txt
11.0,20.0,108.0,25.0,False,log_19_of_104.txt
1.0,10.0,108.0,25.0,False,log_1_of_104.txt
16.0,20.0,108.0,25.0,True,log_20_of_104.txt
21.0,20.0,108.0,25.0,True,log_21_of_104.txt
26.0,20.0,108.0,25.0,True,log_22_of_104.txt
31.0,20.0,108.0,25.0,True,log_23_of_104.txt
36.0,20.0,108.0,25.0,True,log_24_of_104.txt
1.0,25.0,108.0,25.0,False,log_25_of_104.txt
6.0,25.0,108.0,25.0,False,log_26_of_104.txt
11.0,25.0,108.0,25.0,False,log_27_of_104.txt
16.0,25.0,108.0,25.0,True,log_28_of_104.txt
21.0,25.0,108.0,25.0,False,log_29_of_104.txt
6.0,10.0,108.0,25.0,True,log_2_of_104.txt
26.0,25.0,108.0,25.0,True,log_30_of_104.txt
31.0,25.0,108.0,25.0,True,log_31_of_104.txt
36.0,25.0,108.0,25.0,True,log_32_of_104.txt
1.0,30.0,108.0,25.0,False,log_33_of_104.txt
6.0,30.0,108.0,25.0,False,log_34_of_104.txt
11.0,30.0,108.0,25.0,False,log_35_of_104.txt
16.0,30.0,108.0,25.0,True,log_36_of_104.txt
21.0,30.0,108.0,25.0,True,log_37_of_104.txt
26.0,30.0,108.0,25.0,False,log_38_of_104.txt
31.0,30.0,108.0,25.0,True,log_39_of_104.txt
11.0,10.0,108.0,25.0,True,log_3_of_104.txt
36.0,30.0,108.0,25.0,True,log_40_of_104.txt
1.0,35.0,108.0,25.0,False,log_41_of_104.txt
6.0,35.0,108.0,25.0,False,log_42_of_104.txt
11.0,35.0,108.0,25.0,False,log_43_of_104.txt
16.0,35.0,108.0,25.0,False,log_44_of_104.txt
21.0,35.0,108.0,25.0,False,log_45_of_104.txt
26.0,35.0,108.0,25.0,True,log_46_of_104.txt
31.0,35.0,108.0,25.0,True,log_47_of_104.txt
36.0,35.0,108.0,25.0,True,log_48_of_104.txt
1.0,40.0,108.0,25.0,False,log_49_of_104.txt
16.0,10.0,108.0,25.0,True,log_4_of_104.txt
6.0,40.0,108.0,25.0,False,log_50_of_104.txt
11.0,40.0,108.0,25.0,False,log_51_of_104.txt
16.0,40.0,108.0,25.0,False,log_52_of_104.txt
21.0,40.0,108.0,25.0,True,log_53_of_104.txt
26.0,40.0,108.0,25.0,False,log_54_of_104.txt
31.0,40.0,108.0,25.0,False,log_55_of_104.txt
36.0,40.0,108.0,25.0,True,log_56_of_104.txt
1.0,45.0,108.0,25.0,False,log_57_of_104.txt
6.0,45.0,108.0,25.0,False,log_58_of_104.txt
11.0,45.0,108.0,25.0,False,log_59_of_104.txt
21.0,10.0,108.0,25.0,True,log_5_of_104.txt
16.0,45.0,108.0,25.0,False,log_60_of_104.txt
21.0,45.0,108.0,25.0,False,log_61_of_104.txt
26.0,45.0,108.0,25.0,True,log_62_of_104.txt
31.0,45.0,108.0,25.0,False,log_63_of_104.txt
36.0,45.0,108.0,25.0,True,log_64_of_104.txt
1.0,50.0,108.0,25.0,False,log_65_of_104.txt
6.0,50.0,108.0,25.0,False,log_66_of_104.txt
11.0,50.0,108.0,25.0,False,log_67_of_104.txt
16.0,50.0,108.0,25.0,False,log_68_of_104.txt
21.0,50.0,108.0,25.0,False,log_69_of_104.txt
26.0,10.0,108.0,25.0,True,log_6_of_104.txt
26.0,50.0,108.0,25.0,False,log_70_of_104.txt
31.0,50.0,108.0,25.0,False,log_71_of_104.txt
36.0,50.0,108.0,25.0,True,log_72_of_104.txt
1.0,55.0,108.0,25.0,False,log_73_of_104.txt
6.0,55.0,108.0,25.0,False,log_74_of_104.txt
11.0,55.0,108.0,25.0,False,log_75_of_104.txt
16.0,55.0,108.0,25.0,False,log_76_of_104.txt
21.0,55.0,108.0,25.0,False,log_77_of_104.txt
26.0,55.0,108.0,25.0,False,log_78_of_104.txt
31.0,55.0,108.0,25.0,False,log_79_of_104.txt
31.0,10.0,108.0,25.0,True,log_7_of_104.txt
36.0,55.0,108.0,25.0,True,log_80_of_104.txt
1.0,60.0,108.0,25.0,False,log_81_of_104.txt
6.0,60.0,108.0,25.0,False,log_82_of_104.txt
11.0,60.0,108.0,25.0,False,log_83_of_104.txt
16.0,60.0,108.0,25.0,False,log_84_of_104.txt
21.0,60.0,108.0,25.0,False,log_85_of_104.txt
26.0,60.0,108.0,25.0,False,log_86_of_104.txt
31.0,60.0,108.0,25.0,False,log_87_of_104.txt
36.0,60.0,108.0,25.0,True,log_88_of_104.txt
1.0,65.0,108.0,25.0,False,log_89_of_104.txt
36.0,10.0,108.0,25.0,True,log_8_of_104.txt
6.0,65.0,108.0,25.0,False,log_90_of_104.txt
11.0,65.0,108.0,25.0,False,log_91_of_104.txt
16.0,65.0,108.0,25.0,False,log_92_of_104.txt
21.0,65.0,108.0,25.0,False,log_93_of_104.txt
26.0,65.0,108.0,25.0,False,log_94_of_104.txt
31.0,65.0,108.0,25.0,False,log_95_of_104.txt
36.0,65.0,108.0,25.0,False,log_96_of_104.txt
1.0,70.0,108.0,25.0,False,log_97_of_104.txt
6.0,70.0,108.0,25.0,False,log_98_of_104.txt
11.0,70.0,108.0,25.0,False,log_99_of_104.txt
1.0,15.0,108.0,25.0,False,log_9_of_104.txt
